donee,program,amount,program_area,region,purpose,donee_url
Detroit RiverFront Conservancy,,"$345,000","Livable Communities, Parks, Trails and Green Design",Southeast Michigan,"To support a professionally led, community-driven design competition that will help transform West Riverfront Park into an internationally recognized public gathering place.",http://www.detroitriverfront.org/
Downtown Boxing Gym Youth Program,,"$500,000", Youth Sports & Recreation,Southeast Michigan,"To support the growth of this afterschool sports program, including an apprenticeship program to develop the next generation of boxing gym leaders to carry the mission forward.",https://downtownyouthboxing.org/
Eastern Market Corporation,,"$500,000",Livable Communities,Southeast Michigan,To partner with The Nature Conservancy to support the design and demonstration of green infrastructure in the Eastern Market district and an innovative framework for financing stormwater management.,https://www.easternmarket.org
Fair Food Network,,$1.5 million,"Livable Communities, Entrepreneurship & Economic Development","Western New York, Southeast Michigan",To expand Double Up Food Bucks produce incentive program through innovative technology and communications in Southeast Michigan and Western New York.,https://fairfoodnetwork.org/
Focus: Hope,,"$100,000",Young Adults & Working Families,Southeast Michigan,To support 2016 operations as the organization transitions to a new leadership team and develops a revised strategic plan.,https://www.focushope.edu/
"German Marshall Fund ""BUILD"" Conference",,"$30,000","Livable Communities, Entrepreneurship & Economic Development",Southeast Michigan,"To support its BUILD conference, a unique transatlantic urban and regional policy and leadership conference, that will take place in the U.S. for the first time this November in Detroit.",http://www.gmfus.org/events/build-detroit
GreenLight Fund,,"$250,000","Livable Communities, Nonprofit Support & Innovation",Southeast Michigan,"To support the inaugural GreenLight Detroit Fund, which will identify non-profit service gaps, and fund and import innovative solutions to fill those gaps to improve community outcomes for low-income and working class families and children in the region.",https://greenlightfund.org/sites/detroit/
Detroit Employment Solutions,Grow Detroit's Young Talent Initiative,$2 million,Young Adults & Working Families,Southeast Michigan,"To provide work experience, skills training and exposure to career pathways for Detroit youth through the Grow Detroit's Young Talent (GYDT) Initiative.",http://gdyt.org/
Community Foundation for Southeast Michigan,Head Start Innovation Fund,$2 million,"Children & Youth,  Early Childhood",Southeast Michigan,"As a new member of the Southeast Michigan Early Childhood Funders Collaborative, a group of regional and national foundations working to strengthen early childhood development and education, we provided a grant to the Head Start Innovation Fund to expand its good work to the larger region, including Wayne, Oakland, and Macomb counties.",https://cfsem.org/initiative/early-childhood-innovation-fund/
Hearts and Hands,,"$31,000",Caregivers,Western New York,To provide general programmatic support during a capacity building process and review.,https://hnhcares.org/
Niagara University,Help Me Grow Western New York,$1.8 million,"Children & Youth,  Early Childhood",Western New York,To support and expand the Help Me Grow Western New York initiative in achieving its goal of helping young children stay on track in meeting developmental milestones and receiving appropriate assistance when they're not meeting milestones.,https://hnhcares.org/
Hunter's Hope,,"$25,000",Caregivers,Western New York,To support the 2017 Family and Medical Symposium.,https://huntershope.org/
IFF,,$1.7 Million," Early Childhood, Children & Youth",Southeast Michigan,"To support the expansion of the Smart Space program to improve the quality of early childhood education facilities through grants and technical assistance in Oakland, Macomb, and out-Wayne counties.",https://iff.org
Independent Sector,,"$100,000","Livable Communities, Nonprofit Support & Innovation",Southeast Michigan,To support sponsorship of the Independent Sector 2017 national conference in Detroit.,https://www.independentsector.org/events/2017-conference/
City of Detroit,Inner Circle Greenway,$2 million,"Livable Communities, Parks, Trails and Green Design",Southeast Michigan,To support the design and pre-construction of all uncompleted portions of the Inner Circle Greenway and overall framework planning to connect the 26-mile loop in the most impactful way.,http://www.detroitmi.gov/News/ArticleID/1899
Invest Detroit,,"$250,000","Entrepreneurship & Economic Development, Livable Communities",Southeast Michigan,To support the Accelerate Michigan Innovation Competition to create jobs and support high-growth company development in Southeast Michigan.,http://acceleratemichigan.org/
Launch NY,,$2.5 million,"Livable Communities, Entrepreneurship & Economic Development",Western New York,"To create jobs and build a more entrepreneurial culture by supporting Launch NY's efforts to accelerate the commercialization of intellectual property, and execute planning towards building a broader network of coordinated business support in the region.",http://www.launchny.org/
Livingston County Catholic Charities,,"$90,000",Caregivers,Southeast Michigan,"To support the operations of senior service programs (Be Our Guest Adult Day, Volunteer Caregiver and Resource Advocacy) that provide resources and respite to caregivers.",http://www.livingstoncatholiccharities.org/
Macomb Community College Foundation,,$1.1 million,Young Adults & Working Families,Southeast Michigan,"To support a workforce development training program - PRISM (Prosperity Reaches into Southern Macomb) project - that will support training for adults in advanced manufacturing, outreach to introduce and engage high school students in information technology fields, and a pilot on enhancing employer engagement in sustaining workforce training programs.",https://www.macomb.edu/news/2017/08/nr-2017-macomb-awarded-1.1m-grant-from-wilson-foundaiont.html
Michigan Future Inc.,,"$50,000",Livable Communities,Southeast Michigan,To support labor market data and analysis in Southeast Michigan.,http://www.michiganfuture.org/
Michigan Physical Fitness Health & Sports Foundation,Huron Waterloo Pathways Initiative,$3.25 million,"Parks, Trails and Green Design",Southeast Michigan,To support the completion of 15.6 miles of the Border-to-Border Trail (part of the Iron Belle Trail) in Washtenaw County and to provide capacity building and operational support for the Michigan Fitness Foundation and the Iron Belle Trail Initiative.,http://huron-waterloo-pathways.org/
"Midtown Detroit, Inc.",,"$500,000","Livable Communities, Parks, Trails and Green Design",Southeast Michigan,"To fund the implementation of several green infrastructure elements as part of the 6568 Woodward Avenue building redevelopment to serve as a case study and education tool for those doing similar development projects in the city and region. With the Foundation taking the second floor of the building as its headquarters, this will provide staff with a direct learning experience.",http://midtowndetroitinc.org/
National Comedy Center,,$3 million,"Livable Communities, Entrepreneurship & Economic Development",Western New York,"To increase tourism and economic development in Western New York by supporting the development of the National Comedy Center in Jamestown, NY.",http://www.comedycenter.org/
Community Foundation for Southeast Michigan,New Economy Initiative,$5 million,"Livable Communities, Entrepreneurship & Economic Development",Southeast Michigan,"To create jobs and build a more entrepreneurial culture by supporting the New Economy Initiative, an effort to build a network of business support organizations, accelerate the commercialization of intellectual property and create greater inclusion in business ownership.",https://neweconomyinitiative.org/
Niagara Univiersity,,"$1,792,918",Children & Youth,Western New York,To support and expand the Help Me Grow Western New York initiative in achieving its goal of helping young children stay on track in meeting developmental milestones.,https://www.niagara.edu/
NY Funders Alliance,,"$50,000","Livable Communities, Entrepreneurship & Economic Development",Western New York,To support the biennial NYS Funders Conference in Buffalo this November.,http://www.nyfunders.org/
Operating Engineers 324,,"$450,000",Young Adults & Working Families,Southeast Michigan,"To support purchasing and deploying six equipment simulators for both classroom and career event environments that will assist in the engagement, recruitment and education of both apprentices and current journeypersons in skilled trades career opportunities.",https://www.oe324.org/
Playworks Education Energized,,$1.14 million, Youth Sports & Recreation,Western New York,To grow and expand programs in Western New York and Southeast Michigan in order to increase the social competencies in elementary students that are critical to educational and life outcomes.,https://www.playworks.org/
Playworks Education Energized,,"$1,140,000",Children & Youth,"Western New York, Southeast Michigan",To support the expansion of Playworks programs in Western New York and Southeast Michigan in order to increase the social competencies in elementary students that are critical to education and life outcomes.,https://www.playworks.org/
"Police Athletic League of Buffalo, Inc.",,"$345,000", Youth Sports & Recreation,Western New York,"To support the development of a strategic plan for Buffalo PAL that focuses on Agency Sustainability, Board Development, Leadership, and Professional Development for Athletic Coaches.",http://buffalopal.com/
Regional Transit Authority of Southeast Michigan,,"$100,000",Livable Communities,Southeast Michigan,For operational support for 2016 and development of a plan for regional transit throughout the surrounding counties.,http://www.rtamichigan.org/
Research Foundation at SUNY (UB),,"$135,000",Caregivers,Western New York,"To connect occupational therapist graduate students with caregivers to provide them with practical, customized solutions for their unique caregiving challenges.",https://www.rfsuny.org/search/index.cfm
Rochester Area Community Foundation,,"$5,250,000",Children & Youth,Western New York,"To establish the Ralph C. Wilson, Jr. Legacy Fund endowment for Youth Sports and Recreation.",https://www.racf.org/
Rochester Area Community Foundation,,"$10,000",Children & Youth,Western New York,To support the Rochester Area Community Foundation’s scan of youth sports to identify gaps in the youth sports landscape and opportunities.,https://www.racf.org/
Rochester Presbyterian Home,,"$151,000",Caregivers,Western New York,To support the implementation of a new professional development curriculum designed to empower staff and improve the quality of life for residents.,http://rph.org/
Say Yes to Education,,"$800,000",Young Adults & Working Families,Western New York,To support Say Yes Buffalo and advance the city as a Place of Opportunity for Boys and Young Men of Color.,http://sayyesbuffalo.org/
Schuyler Center for Analysis and Advocacy,,"$50,000",Children & Youth,Western New York,"To support research, analysis and policies that improve health, welfare and human services for young children and families.",https://www.scaany.org/
Southeastern Michigan Health Association,SisterFriends,$2 million,Children & Youth,Southeast Michigan,"To support the establishment and operations of SisterFriends, a project of the Detroit Health Department designed to reduce the infant death rate and increase healthy practices by providing volunteer mentors called SisterFriends to women during pregnancy and for one year after birth.",https://sisterfriendsdetroit.com/
Independent Health Foundation,Soccer for Success,"$650,000","Children & Youth,  Youth Sports & Recreation",Western New York,"To support the expansion of Soccer for Success in Western New York region by adding five additional sites, increasing the number of students served each year to 3,000 by the 2019-2020 academic year.",https://www.independenthealth.com/IntheCommunity/Programs/SoccerforSuccess
Teach For America,,"$225,000","Children & Youth,  Early Childhood","Western New York, Southeast Michigan","To support the expansion and development of its early childhood recruitment, development and training programs in both Detroit and Buffalo.",https://www.teachforamerica.org/
Detroit Employment Solutions,TechHire,$2 million,Young Adults & Working Families,Southeast Michigan,"To support the Detroit Regional TechHire Initiative, and provide the region's growing IT industry a local, diverse source of talent, while at the same time developing career pathways and employment opportunities of Metro Detroiters of all skill levels.",http://techhire.wpengine.com/community/detroit/
Workforce Intelligence Network (WIN),Test,$1.5 million,Young Adults & Working Families,Southeast Michigan,"To support the launch of Apprenti, an employer-driven training program for registered apprenticeships in the Information Technology (IT) sector.",https://apprenticareers.org/locations/southeast-michigan/
The Nature Conservancy,,$1.6 Million,Livable Communities,Southeast Michigan,To partner with Eastern Market Corporation to support the design and demonstration of green infrastructure in the Eastern Market district and an innovative framework for financing stormwater management.,https://www.nature.org/en-us/
The Yunion,,"$300,000", Youth Sports & Recreation,Southeast Michigan,"To support the expansion of the Yunion's afterschool martial arts program, the Cave of Adullam Transformational Training Academy (CATTA).",https://theyunion.org/
Torn Space Theater,,"$310,000",Entrepreneurship & Economic Development,Western New York,To complete the capital campaign to preserve and restore Turn Space Theater's historic building in the Fillmore neighborhood on Buffalo's East Side.,http://www.tornspacetheater.com/home/
United Way of Buffalo & Erie County,WNY Girls in Sports,"$1,466,200", Youth Sports & Recreation,Western New York,To support the expansion of the Western New York Girls in Sports events and better connect young girls to existing sports and recreation programs and opportunities.,https://www.uwbec.org/
"Community Connections of NY, Inc.",WNY Mentoring Collective,$2.15 million,"Children & Youth,  Afterschool",Western New York,"To support the WNY Mentoring Collective, a cohort of nine mentoring programs using a collaborative approach to expand and strengthen the field of mentorship programs across the region, ultimately connecting more children with mentors.",https://www.uwbec.org/
Women's Sports Foundation,,$1 million,"Children & Youth,  Youth Sports & Recreation","Western New York, Southeast Michigan",To bring the Women's Sports Foundation's Sports 4 Life program to Western New York and Southeast Michigan to strengthen and grow eight local youth sports organizations in order to attract and retain more girl participants.,https://www.womenssportsfoundation.org/
Southeast Michigan Community Alliance,Workforce Intelligence Network (WIN),$1.5 million,Young Adults & Working Families,Southeast Michigan,"To support the launch of Apprenti, an employer-driven training program for registered apprenticeships in the Information Technology (IT) sector.",https://apprenticareers.org/locations/southeast-michigan/
